Store_ID,Store_Name,City,Locality,Store_Type,Capacity,Latitude,Longitude
BST-001,Karol Bagh Store,Delhi NCR,Karol Bagh,Dark Store,50000,28.6448,77.1873
BST-002,Saket Store,Delhi NCR,Saket,Dark Store,50000,28.5244,77.2167
BST-003,Vasant Kunj Store,Delhi NCR,Vasant Kunj,Dark Store,50000,28.5292,77.1524
BST-004,Dwarka Sector 10 Store,Delhi NCR,Dwarka Sector 10,Dark Store,50000,28.581,77.0581
BST-005,Laxmi Nagar Store,Delhi NCR,Laxmi Nagar,Dark Store,50000,28.6304,77.2777
BST-006,Vijay Nagar (North Campus) Store,Delhi NCR,Vijay Nagar (North Campus),Dark Store,50000,28.694,77.202
BST-007,Rajouri Garden Store,Delhi NCR,Rajouri Garden,Dark Store,50000,28.6415,77.1218
BST-008,Greater Kailash 2 Store,Delhi NCR,Greater Kailash 2,Dark Store,50000,28.532,77.2437
BST-009,Hauz Khas Store,Delhi NCR,Hauz Khas,Dark Store,50000,28.5494,77.2001
BST-010,Rohini Sector 9 Store,Delhi NCR,Rohini Sector 9,Dark Store,50000,28.7156,77.1206
BST-011,Pitampura Store,Delhi NCR,Pitampura,Dark Store,50000,28.7037,77.1349
BST-012,Connaught Place Store,Delhi NCR,Connaught Place,Dark Store,50000,28.6304,77.2177
BST-013,Janakpuri Store,Delhi NCR,Janakpuri,Dark Store,50000,28.6219,77.0878
BST-014,Mayur Vihar Phase 1 Store,Delhi NCR,Mayur Vihar Phase 1,Dark Store,50000,28.608,77.291
BST-015,Noida Sector 62 Store,Delhi NCR,Noida Sector 62,Dark Store,50000,28.624,77.371
BST-016,Noida Sector 15 Store,Delhi NCR,Noida Sector 15,Dark Store,50000,28.5833,77.3167
BST-017,Noida Sector 137 Store,Delhi NCR,Noida Sector 137,Dark Store,50000,28.5035,77.4022
BST-018,Indirapuram (Ghaziabad) Store,Delhi NCR,Indirapuram (Ghaziabad),Dark Store,50000,28.636,77.369
BST-019,Vasundhara (Ghaziabad) Store,Delhi NCR,Vasundhara (Ghaziabad),Dark Store,50000,28.66,77.36
BST-020,DLF Phase 3 (Gurugram) Store,Delhi NCR,DLF Phase 3 (Gurugram),Dark Store,50000,28.49,77.09
BST-021,Sohna Road (Gurugram) Store,Delhi NCR,Sohna Road (Gurugram),Dark Store,50000,28.41,77.04
BST-022,Gurugram Sector 56 Store,Delhi NCR,Gurugram Sector 56,Dark Store,50000,28.4319,77.099
BST-023,Gurugram Sector 45 Store,Delhi NCR,Gurugram Sector 45,Dark Store,50000,28.45,77.07
BST-024,Faridabad Sector 15 Store,Delhi NCR,Faridabad Sector 15,Dark Store,50000,28.4167,77.3167
BST-025,Faridabad Sector 21 Store,Delhi NCR,Faridabad Sector 21,Dark Store,50000,28.43,77.29
BST-026,Koramangala 4th Block Store,Bengaluru,Koramangala 4th Block,Dark Store,50000,12.9345,77.6267
BST-027,Indiranagar 100ft Rd Store,Bengaluru,Indiranagar 100ft Rd,Dark Store,50000,12.9718,77.6411
BST-028,HSR Layout Sector 3 Store,Bengaluru,HSR Layout Sector 3,Dark Store,50000,12.9102,77.645
BST-029,Whitefield ITPL Store,Bengaluru,Whitefield ITPL,Dark Store,50000,12.984,77.73
BST-030,Bellandur Store,Bengaluru,Bellandur,Dark Store,50000,12.9304,77.6784
BST-031,Marathahalli Bridge Store,Bengaluru,Marathahalli Bridge,Dark Store,50000,12.9562,77.701
BST-032,Electronic City Phase 1 Store,Bengaluru,Electronic City Phase 1,Dark Store,50000,12.8452,77.6638
BST-033,Jayanagar 4th Block Store,Bengaluru,Jayanagar 4th Block,Dark Store,50000,12.928,77.583
BST-034,Malleshwaram 15th Cross Store,Bengaluru,Malleshwaram 15th Cross,Dark Store,50000,12.998,77.571
BST-035,BTM Layout 2nd Stage Store,Bengaluru,BTM Layout 2nd Stage,Dark Store,50000,12.9166,77.6101
BST-036,JP Nagar 3rd Phase Store,Bengaluru,JP Nagar 3rd Phase,Dark Store,50000,12.909,77.59
BST-037,Banashankari 3rd Stage Store,Bengaluru,Banashankari 3rd Stage,Dark Store,50000,12.925,77.546
BST-038,Hebbal Outer Ring Rd Store,Bengaluru,Hebbal Outer Ring Rd,Dark Store,50000,13.035,77.597
BST-039,Yelahanka New Town Store,Bengaluru,Yelahanka New Town,Dark Store,50000,13.098,77.596
BST-040,Rajajinagar 1st Block Store,Bengaluru,Rajajinagar 1st Block,Dark Store,50000,12.988,77.554
BST-041,Kalyan Nagar Store,Bengaluru,Kalyan Nagar,Dark Store,50000,13.022,77.64
BST-042,Bannerghatta Rd (Arakere) Store,Bengaluru,Bannerghatta Rd (Arakere),Dark Store,50000,12.889,77.599
BST-043,Sadashivanagar Store,Bengaluru,Sadashivanagar,Dark Store,50000,13.0068,77.5815
BST-044,Sarjapur Road Store,Bengaluru,Sarjapur Road,Dark Store,50000,12.9096,77.6842
BST-045,Basaveshwaranagar Store,Bengaluru,Basaveshwaranagar,Dark Store,50000,12.986,77.537
BST-046,Bandra West (Hill Rd) Store,Mumbai,Bandra West (Hill Rd),Dark Store,50000,19.0583,72.8302
BST-047,Andheri West (Lokhandwala) Store,Mumbai,Andheri West (Lokhandwala),Dark Store,50000,19.1363,72.8276
BST-048,Juhu Scheme Store,Mumbai,Juhu Scheme,Dark Store,50000,19.1062,72.8258
BST-049,Powai (Hiranandani) Store,Mumbai,Powai (Hiranandani),Dark Store,50000,19.1176,72.906
BST-050,Worli Naka Store,Mumbai,Worli Naka,Dark Store,50000,19.0118,72.818
BST-051,Colaba Cause Way Store,Mumbai,Colaba Cause Way,Dark Store,50000,18.915,72.8258
BST-052,Chembur East Store,Mumbai,Chembur East,Dark Store,50000,19.06,72.9
BST-053,Borivali West Store,Mumbai,Borivali West,Dark Store,50000,19.23,72.85
BST-054,Mulund West Store,Mumbai,Mulund West,Dark Store,50000,19.17,72.95
BST-055,Thane West (Ghodbunder) Store,Mumbai,Thane West (Ghodbunder),Dark Store,50000,19.22,72.97
BST-056,Vashi Sector 17 (Navi Mumbai) Store,Mumbai,Vashi Sector 17 (Navi Mumbai),Dark Store,50000,19.076,72.999
BST-057,Kharghar Sector 20 Store,Mumbai,Kharghar Sector 20,Dark Store,50000,19.03,73.06
BST-058,Malad West Store,Mumbai,Malad West,Dark Store,50000,19.18,72.83
BST-059,Santacruz West Store,Mumbai,Santacruz West,Dark Store,50000,19.08,72.83
